,pdq,seasonal_pdq,6,9,12,MEAN MAPE
0,"(0, 0, 0)","(0, 0, 0, 12)",1.0,1.0,1.0,1.0
1,"(0, 0, 0)","(0, 0, 1, 12)",0.6888906056853856,0.6534610907502145,0.6206309103919544,0.6543275356091849
2,"(0, 0, 0)","(0, 0, 2, 12)",0.7193286932268431,0.4941543342693227,0.45543302646370626,0.5563053513199574
3,"(0, 0, 0)","(0, 1, 0, 12)",0.16251972542583526,0.17589080355342648,0.15409890227934878,0.16416981041953682
4,"(0, 0, 0)","(0, 1, 1, 12)",0.16240136809547934,0.1934281363262834,0.2035894217276064,0.18647297538312305
5,"(0, 0, 0)","(0, 1, 2, 12)",0.6390376818438568,0.8787384677108165,792.4055387716752,264.6411049737433
6,"(0, 0, 0)","(0, 2, 0, 12)",0.19836940833018132,0.16181836967886784,0.16372829868960223,0.17463869223288378
7,"(0, 0, 0)","(0, 2, 1, 12)",0.135861148548371,0.14914861715730246,0.12892397714834936,0.1379779142846743
8,"(0, 0, 0)","(0, 2, 2, 12)",0.2312216352541647,0.17226131564132935,0.23314696521312728,0.2122099720362071
9,"(0, 0, 0)","(1, 0, 0, 12)",0.18120249556459156,0.2029532105696875,0.18763452235024788,0.19059674282817565
10,"(0, 0, 0)","(1, 0, 1, 12)",0.22733401602227873,0.25026249444721965,0.2562778687388371,0.24462479306944518
11,"(0, 0, 0)","(1, 0, 2, 12)",0.16088344296287851,0.1698512581019737,0.17675848634246075,0.16916439580243767
12,"(0, 0, 0)","(1, 1, 0, 12)",0.1589497867849857,0.18084122010226222,0.17372474198289803,0.17117191629004866
13,"(0, 0, 0)","(1, 1, 1, 12)",0.17495294279112472,0.20659724117752779,0.2385096759122917,0.2066866199603147
14,"(0, 0, 0)","(1, 1, 2, 12)",0.736497971229071,0.8834698093856409,755.019698976339,252.2132222523179
15,"(0, 0, 0)","(1, 2, 0, 12)",0.10877946912306098,0.11516139569940272,0.10273546975696259,0.10889211152647543
16,"(0, 0, 0)","(1, 2, 1, 12)",0.10124717418011527,0.13832075395842325,0.14191990616793318,0.12716261143549057
17,"(0, 0, 0)","(1, 2, 2, 12)",331.92378577752567,0.1756231178833715,0.17321288868744458,110.75754059469882
18,"(0, 0, 0)","(2, 0, 0, 12)",0.12917714469795943,0.16132591357677256,0.16103632002434107,0.15051312609969103
19,"(0, 0, 0)","(2, 0, 1, 12)",0.11969939459022781,0.1542133489234587,0.18421291863303144,0.15270855404890596
