,predicted_mean
2023-03-01,551.5840411145524
2023-04-01,546.6826043997003
2023-05-01,539.8863992364078
2023-06-01,544.1067012253903
2023-07-01,551.6237937226477
2023-08-01,555.0308623535209
2023-09-01,551.419449532599
2023-10-01,550.395824184604
2023-11-01,548.8635730938247
2023-12-01,553.1508638640084
2024-01-01,558.0707642162275
2024-02-01,554.8300779347552
