pdq,seasonal_pdq,hold_out,MAPE
"(0, 0, 0)","(2, 2, 2, 12)",9,2889.1368501992442
"(0, 0, 0)","(2, 2, 2, 12)",12,0.13817530785903712
"(0, 0, 1)","(0, 0, 0, 12)",6,0.913604554696429
"(0, 0, 1)","(0, 0, 0, 12)",9,0.9492436414567718
"(0, 0, 1)","(0, 0, 0, 12)",12,0.9558591661670447
"(0, 0, 1)","(0, 0, 1, 12)",6,0.919358523950098
"(0, 0, 1)","(0, 0, 1, 12)",9,0.9540338682816955
"(0, 0, 1)","(0, 0, 1, 12)",12,0.6055077363465938
"(0, 0, 1)","(0, 0, 2, 12)",6,0.6124051383650368
"(0, 0, 1)","(0, 0, 2, 12)",9,0.6596654859333863
"(0, 0, 1)","(0, 0, 2, 12)",12,0.6594882363908736
"(0, 0, 1)","(0, 1, 0, 12)",6,0.14060707147756413
"(0, 0, 1)","(0, 1, 0, 12)",9,0.16410822065354785
"(0, 0, 1)","(0, 1, 0, 12)",12,0.16621340700166704
"(0, 0, 1)","(0, 1, 1, 12)",6,0.16440443157397158
"(0, 0, 1)","(0, 1, 1, 12)",9,0.17140037260063312
"(0, 0, 1)","(0, 1, 1, 12)",12,0.17726439910551053
"(0, 0, 1)","(0, 1, 2, 12)",6,3.0972534056009917
"(0, 0, 1)","(0, 1, 2, 12)",9,0.1575975491810771
"(0, 0, 1)","(0, 1, 2, 12)",12,2549.626134752763
"(0, 0, 1)","(0, 2, 0, 12)",6,0.1459494777940927
"(0, 0, 1)","(0, 2, 0, 12)",9,0.20667088293885869
"(0, 0, 1)","(0, 2, 0, 12)",12,0.20845661582125638
"(0, 0, 1)","(0, 2, 1, 12)",6,0.13746008835842596
"(0, 0, 1)","(0, 2, 1, 12)",9,0.16335786202685812
"(0, 0, 1)","(0, 2, 1, 12)",12,0.1667019545604089
"(0, 0, 1)","(0, 2, 2, 12)",6,0.22562474187581696
"(0, 0, 1)","(0, 2, 2, 12)",9,0.21794373550970125
"(0, 0, 1)","(0, 2, 2, 12)",12,0.4802654398324088
"(0, 0, 1)","(1, 0, 0, 12)",6,0.1312413073405284
"(0, 0, 1)","(1, 0, 0, 12)",9,0.16095299690577222
"(0, 0, 1)","(1, 0, 0, 12)",12,0.16838922620040964
"(0, 0, 1)","(1, 0, 1, 12)",6,0.13582683012775518
"(0, 0, 1)","(1, 0, 1, 12)",9,0.14969533918588798
"(0, 0, 1)","(1, 0, 1, 12)",12,0.15917979940598115
"(0, 0, 1)","(1, 0, 2, 12)",6,0.1284505121896007
"(0, 0, 1)","(1, 0, 2, 12)",9,0.13393587181734237
"(0, 0, 1)","(1, 0, 2, 12)",12,0.1398885847022016
"(0, 0, 1)","(1, 1, 0, 12)",6,0.13684057815623868
"(0, 0, 1)","(1, 1, 0, 12)",9,0.14097531169942376
"(0, 0, 1)","(1, 1, 0, 12)",12,0.14518290556701036
"(0, 0, 1)","(1, 1, 1, 12)",6,0.1524619151543481
"(0, 0, 1)","(1, 1, 1, 12)",9,0.15354133852793586
"(0, 0, 1)","(1, 1, 1, 12)",12,0.16146824253167666
"(0, 0, 1)","(1, 1, 2, 12)",6,151460.66230205528
"(0, 0, 1)","(1, 1, 2, 12)",9,0.14774390674321985
"(0, 0, 1)","(1, 1, 2, 12)",12,0.14019807719615482
"(0, 0, 1)","(1, 2, 0, 12)",6,0.06777130643776645
"(0, 0, 1)","(1, 2, 0, 12)",9,0.11292190428577459
"(0, 0, 1)","(1, 2, 0, 12)",12,0.12423404300027498
"(0, 0, 1)","(1, 2, 1, 12)",6,0.10676394435459972
"(0, 0, 1)","(1, 2, 1, 12)",9,0.12084699142284082
"(0, 0, 1)","(1, 2, 1, 12)",12,0.13672358909383958
"(0, 0, 1)","(1, 2, 2, 12)",6,104.57046422762055
"(0, 0, 1)","(1, 2, 2, 12)",9,1035.4418118248911
"(0, 0, 1)","(1, 2, 2, 12)",12,0.13545300240962507
"(0, 0, 1)","(2, 0, 0, 12)",6,0.12009484085564259
"(0, 0, 1)","(2, 0, 0, 12)",9,0.12853214347704442
"(0, 0, 1)","(2, 0, 0, 12)",12,0.1385409716758282
"(0, 0, 1)","(2, 0, 1, 12)",6,0.13560699011414737
"(0, 0, 1)","(2, 0, 1, 12)",9,0.13981942623072807
"(0, 0, 1)","(2, 0, 1, 12)",12,0.14856758050604776
"(0, 0, 1)","(2, 0, 2, 12)",6,0.13770775167114804
"(0, 0, 1)","(2, 0, 2, 12)",9,0.1357599028171671
"(0, 0, 1)","(2, 0, 2, 12)",12,0.14868871122937583
"(0, 0, 1)","(2, 1, 0, 12)",6,0.1560257599181789
"(0, 0, 1)","(2, 1, 0, 12)",9,0.15656368158135725
"(0, 0, 1)","(2, 1, 0, 12)",12,0.16715554088565399
"(0, 0, 1)","(2, 1, 1, 12)",6,0.15810735533452266
"(0, 0, 1)","(2, 1, 1, 12)",9,0.1592489555361688
"(0, 0, 1)","(2, 1, 1, 12)",12,0.17051907202833447
"(0, 0, 1)","(2, 1, 2, 12)",6,0.41789911159505794
"(0, 0, 1)","(2, 1, 2, 12)",9,0.06901848382672467
"(0, 0, 1)","(2, 1, 2, 12)",12,0.2269318783638862
"(0, 0, 1)","(2, 2, 0, 12)",6,0.09994252325335579
"(0, 0, 1)","(2, 2, 0, 12)",9,0.11559831419720151
"(0, 0, 1)","(2, 2, 0, 12)",12,0.132165005884109
"(0, 0, 1)","(2, 2, 1, 12)",6,0.1275224333699706
"(0, 0, 1)","(2, 2, 1, 12)",9,0.1278386421579176
"(0, 0, 1)","(2, 2, 1, 12)",12,0.14651310576135543
"(0, 0, 1)","(2, 2, 2, 12)",6,0.12631427189984631
"(0, 0, 1)","(2, 2, 2, 12)",9,2265.451320928026
"(0, 0, 1)","(2, 2, 2, 12)",12,0.1443738389579614
"(0, 0, 2)","(0, 0, 0, 12)",6,0.8383720474029208
"(0, 0, 2)","(0, 0, 0, 12)",9,0.889209100845389
"(0, 0, 2)","(0, 0, 0, 12)",12,0.9296594095020544
"(0, 0, 2)","(0, 0, 1, 12)",6,0.8507403503401038
"(0, 0, 2)","(0, 0, 1, 12)",9,0.8942285301556626
"(0, 0, 2)","(0, 0, 1, 12)",12,0.5908977490197
"(0, 0, 2)","(0, 0, 2, 12)",6,0.5803954710803254
"(0, 0, 2)","(0, 0, 2, 12)",9,0.6127587751606107
"(0, 0, 2)","(0, 0, 2, 12)",12,0.664391664351264
"(0, 0, 2)","(0, 1, 0, 12)",6,0.12606144601926267
"(0, 0, 2)","(0, 1, 0, 12)",9,0.1576109617981592
"(0, 0, 2)","(0, 1, 0, 12)",12,0.16528047300398813
"(0, 0, 2)","(0, 1, 1, 12)",6,0.1547028596558608
"(0, 0, 2)","(0, 1, 1, 12)",9,0.17138745337999367
"(0, 0, 2)","(0, 1, 1, 12)",12,0.1752844650472527
"(0, 0, 2)","(0, 1, 2, 12)",6,2.2942222490394677
"(0, 0, 2)","(0, 1, 2, 12)",9,0.15271444833817
"(0, 0, 2)","(0, 1, 2, 12)",12,4508.536456758816
"(0, 0, 2)","(0, 2, 0, 12)",6,0.13538262567850398
"(0, 0, 2)","(0, 2, 0, 12)",9,0.19639252654997924
"(0, 0, 2)","(0, 2, 0, 12)",12,0.21211193062056222
"(0, 0, 2)","(0, 2, 1, 12)",6,0.12067974402894717
"(0, 0, 2)","(0, 2, 1, 12)",9,0.1561054580117058
"(0, 0, 2)","(0, 2, 1, 12)",12,0.1658798085037563
"(0, 0, 2)","(0, 2, 2, 12)",6,0.1189867510830223
"(0, 0, 2)","(0, 2, 2, 12)",9,0.20634395428914706
"(0, 0, 2)","(0, 2, 2, 12)",12,0.4974555841956996
"(0, 0, 2)","(1, 0, 0, 12)",6,0.11834715604044511
"(0, 0, 2)","(1, 0, 0, 12)",9,0.15516984289653732
"(0, 0, 2)","(1, 0, 0, 12)",12,0.1680971247196933
"(0, 0, 2)","(1, 0, 1, 12)",6,0.12079452383885754
"(0, 0, 2)","(1, 0, 1, 12)",9,0.14273224245983443
"(0, 0, 2)","(1, 0, 1, 12)",12,0.15468970116884012
"(0, 0, 2)","(1, 0, 2, 12)",6,0.11428997308105578
"(0, 0, 2)","(1, 0, 2, 12)",9,0.12905815844684956
"(0, 0, 2)","(1, 0, 2, 12)",12,0.13946614100199844
"(0, 0, 2)","(1, 1, 0, 12)",6,0.11928778190040339
"(0, 0, 2)","(1, 1, 0, 12)",9,0.13504258329324959
"(0, 0, 2)","(1, 1, 0, 12)",12,0.13969411146640034
"(0, 0, 2)","(1, 1, 1, 12)",6,0.14324149541747866
"(0, 0, 2)","(1, 1, 1, 12)",9,0.1543364550904543
"(0, 0, 2)","(1, 1, 1, 12)",12,0.1654513937851417
"(0, 0, 2)","(1, 1, 2, 12)",6,261958.577269031
"(0, 0, 2)","(1, 1, 2, 12)",9,0.14366015241491195
"(0, 0, 2)","(1, 1, 2, 12)",12,0.1322379714383323
"(0, 0, 2)","(1, 2, 0, 12)",6,0.06111512553449731
"(0, 0, 2)","(1, 2, 0, 12)",9,0.11032899020062574
"(0, 0, 2)","(1, 2, 0, 12)",12,0.12261749980680657
"(0, 0, 2)","(1, 2, 1, 12)",6,0.10013581425536543
"(0, 0, 2)","(1, 2, 1, 12)",9,0.12161254683127225
"(0, 0, 2)","(1, 2, 1, 12)",12,0.1323009237358553
"(0, 0, 2)","(1, 2, 2, 12)",6,95.41980001903168
"(0, 0, 2)","(1, 2, 2, 12)",9,971.0511249212929
"(0, 0, 2)","(1, 2, 2, 12)",12,0.12497610030308319
"(0, 0, 2)","(2, 0, 0, 12)",6,0.10413488702106329
"(0, 0, 2)","(2, 0, 0, 12)",9,0.12393020665224681
"(0, 0, 2)","(2, 0, 0, 12)",12,0.13328049580457785
"(0, 0, 2)","(2, 0, 1, 12)",6,0.12003402053871522
"(0, 0, 2)","(2, 0, 1, 12)",9,0.1364495215321874
"(0, 0, 2)","(2, 0, 1, 12)",12,0.14606286426483125
"(0, 0, 2)","(2, 0, 2, 12)",6,0.10335243937470466
"(0, 0, 2)","(2, 0, 2, 12)",9,0.12349450173968535
"(0, 0, 2)","(2, 0, 2, 12)",12,0.14328599216196497
"(0, 0, 2)","(2, 1, 0, 12)",6,0.15217072386917252
"(0, 0, 2)","(2, 1, 0, 12)",9,0.1575789761454795
"(0, 0, 2)","(2, 1, 0, 12)",12,0.16632961281287348
"(0, 0, 2)","(2, 1, 1, 12)",6,0.15987431955740125
"(0, 0, 2)","(2, 1, 1, 12)",9,0.1633836403701011
"(0, 0, 2)","(2, 1, 1, 12)",12,0.17164019612077333
"(0, 0, 2)","(2, 1, 2, 12)",6,0.1614746372176691
"(0, 0, 2)","(2, 1, 2, 12)",9,0.06789064629647948
"(0, 0, 2)","(2, 1, 2, 12)",12,0.2320740659759657
"(0, 0, 2)","(2, 2, 0, 12)",6,0.08713776496000329
"(0, 0, 2)","(2, 2, 0, 12)",9,0.11507007565742199
"(0, 0, 2)","(2, 2, 0, 12)",12,0.13309989747695358
"(0, 0, 2)","(2, 2, 1, 12)",6,0.1290728661010104
"(0, 0, 2)","(2, 2, 1, 12)",9,0.13718104567144773
"(0, 0, 2)","(2, 2, 1, 12)",12,0.1531473805620187
"(0, 0, 2)","(2, 2, 2, 12)",6,0.12336193902896177
"(0, 0, 2)","(2, 2, 2, 12)",9,2583.27023124301
"(0, 0, 2)","(2, 2, 2, 12)",12,0.14208258084390107
"(0, 1, 0)","(0, 0, 0, 12)",6,0.013683537491663398
"(0, 1, 0)","(0, 0, 0, 12)",9,0.020419639322780105
"(0, 1, 0)","(0, 0, 0, 12)",12,0.11339405698955972
"(0, 1, 0)","(0, 0, 1, 12)",6,0.010820626059640298
"(0, 1, 0)","(0, 0, 1, 12)",9,0.023236351329731095
"(0, 1, 0)","(0, 0, 1, 12)",12,0.11201000776141584
"(0, 1, 0)","(0, 0, 2, 12)",6,0.012154091141745524
"(0, 1, 0)","(0, 0, 2, 12)",9,0.023015971932031323
"(0, 1, 0)","(0, 0, 2, 12)",12,0.11539594007402065
"(0, 1, 0)","(0, 1, 0, 12)",6,0.06610987709807968
"(0, 1, 0)","(0, 1, 0, 12)",9,0.03662635669305059
"(0, 1, 0)","(0, 1, 0, 12)",12,0.14058536704187957
"(0, 1, 0)","(0, 1, 1, 12)",6,0.015941469188097728
"(0, 1, 0)","(0, 1, 1, 12)",9,0.028581881464364814
"(0, 1, 0)","(0, 1, 1, 12)",12,0.10330001357737562
"(0, 1, 0)","(0, 1, 2, 12)",6,0.28573083329142596
"(0, 1, 0)","(0, 1, 2, 12)",9,0.036124779520807684
"(0, 1, 0)","(0, 1, 2, 12)",12,1.1752257233420684
"(0, 1, 0)","(0, 2, 0, 12)",6,0.131530886415843
"(0, 1, 0)","(0, 2, 0, 12)",9,0.09723304564390785
"(0, 1, 0)","(0, 2, 0, 12)",12,0.29912327401896244
"(0, 1, 0)","(0, 2, 1, 12)",6,0.07676476091936281
"(0, 1, 0)","(0, 2, 1, 12)",9,0.041249073649317486
"(0, 1, 0)","(0, 2, 1, 12)",12,0.146990287630405
"(0, 1, 0)","(0, 2, 2, 12)",6,0.19110094010455603
"(0, 1, 0)","(0, 2, 2, 12)",9,1.0978250046561628
"(0, 1, 0)","(0, 2, 2, 12)",12,0.4870427877786012
"(0, 1, 0)","(1, 0, 0, 12)",6,0.01000388864916689
"(0, 1, 0)","(1, 0, 0, 12)",9,0.025207076422947727
"(0, 1, 0)","(1, 0, 0, 12)",12,0.10979676803698017
"(0, 1, 0)","(1, 0, 1, 12)",6,0.010282366814624936
"(0, 1, 0)","(1, 0, 1, 12)",9,0.025542957121242105
"(0, 1, 0)","(1, 0, 1, 12)",12,0.10797819296845106
"(0, 1, 0)","(1, 0, 2, 12)",6,0.01206098831222635
"(0, 1, 0)","(1, 0, 2, 12)",9,0.02362543160724713
"(0, 1, 0)","(1, 0, 2, 12)",12,0.12102725843708811
"(0, 1, 0)","(1, 1, 0, 12)",6,0.034039265065903164
"(0, 1, 0)","(1, 1, 0, 12)",9,0.02925638500154996
"(0, 1, 0)","(1, 1, 0, 12)",12,0.04167679171744456
"(0, 1, 0)","(1, 1, 1, 12)",6,0.015067890082002178
"(0, 1, 0)","(1, 1, 1, 12)",9,0.040153862294002404
"(0, 1, 0)","(1, 1, 1, 12)",12,0.07097090774679178
"(0, 1, 0)","(1, 1, 2, 12)",6,298.73103723275636
"(0, 1, 0)","(1, 1, 2, 12)",9,15.076674022289975
"(0, 1, 0)","(1, 1, 2, 12)",12,4.378775584488022
"(0, 1, 0)","(1, 2, 0, 12)",6,0.10194128476131832
"(0, 1, 0)","(1, 2, 0, 12)",9,0.06632703567674043
"(0, 1, 0)","(1, 2, 0, 12)",12,0.07798852664856312
"(0, 1, 0)","(1, 2, 1, 12)",6,0.04310657764106076
"(0, 1, 0)","(1, 2, 1, 12)",9,0.028909427057838975
"(0, 1, 0)","(1, 2, 1, 12)",12,0.029793478553309816
"(0, 1, 0)","(1, 2, 2, 12)",6,0.047572974134979455
"(0, 1, 0)","(1, 2, 2, 12)",9,0.04160871685023508
"(0, 1, 0)","(1, 2, 2, 12)",12,0.031661228126527295
"(0, 1, 0)","(2, 0, 0, 12)",6,0.010975825075563266
"(0, 1, 0)","(2, 0, 0, 12)",9,0.02576459491305617
"(0, 1, 0)","(2, 0, 0, 12)",12,0.12004838844182968
"(0, 1, 0)","(2, 0, 1, 12)",6,0.011043582551576586
"(0, 1, 0)","(2, 0, 1, 12)",9,0.02563665818316725
"(0, 1, 0)","(2, 0, 1, 12)",12,0.12016576575620784
"(0, 1, 0)","(2, 0, 2, 12)",6,0.012176094099164368
"(0, 1, 0)","(2, 0, 2, 12)",9,0.02573528964091602
"(0, 1, 0)","(2, 0, 2, 12)",12,0.11712125362245461
"(0, 1, 0)","(2, 1, 0, 12)",6,0.019061624912378623
"(0, 1, 0)","(2, 1, 0, 12)",9,0.03558842848270892
"(0, 1, 0)","(2, 1, 0, 12)",12,0.06539897006307917
"(0, 1, 0)","(2, 1, 1, 12)",6,0.01757796661881354
"(0, 1, 0)","(2, 1, 1, 12)",9,0.03779043593406855
"(0, 1, 0)","(2, 1, 1, 12)",12,0.07327589068894359
"(0, 1, 0)","(2, 1, 2, 12)",6,0.14367383516198223
"(0, 1, 0)","(2, 1, 2, 12)",9,0.027001140526359966
"(0, 1, 0)","(2, 1, 2, 12)",12,0.247485306275272
"(0, 1, 0)","(2, 2, 0, 12)",6,0.06547690382044304
"(0, 1, 0)","(2, 2, 0, 12)",9,0.03258126080660908
"(0, 1, 0)","(2, 2, 0, 12)",12,0.03951395554297008
"(0, 1, 0)","(2, 2, 1, 12)",6,0.021348228231083607
"(0, 1, 0)","(2, 2, 1, 12)",9,0.03701949213026456
"(0, 1, 0)","(2, 2, 1, 12)",12,0.0449928834372891
"(0, 1, 0)","(2, 2, 2, 12)",6,0.050299879874534575
"(0, 1, 0)","(2, 2, 2, 12)",9,0.045575490753562674
"(0, 1, 0)","(2, 2, 2, 12)",12,0.04583394723886191
"(0, 1, 1)","(0, 0, 0, 12)",6,0.01350650882336509
"(0, 1, 1)","(0, 0, 0, 12)",9,0.0189826420805204
"(0, 1, 1)","(0, 0, 0, 12)",12,0.11298263555244396
"(0, 1, 1)","(0, 0, 1, 12)",6,0.009999333420622175
"(0, 1, 1)","(0, 0, 1, 12)",9,0.02216427270507926
"(0, 1, 1)","(0, 0, 1, 12)",12,0.11149852761537636
"(0, 1, 1)","(0, 0, 2, 12)",6,0.010847915216506193
"(0, 1, 1)","(0, 0, 2, 12)",9,0.022796880794535235
"(0, 1, 1)","(0, 0, 2, 12)",12,0.12106740220106432
"(0, 1, 1)","(0, 1, 0, 12)",6,0.06446484972116918
"(0, 1, 1)","(0, 1, 0, 12)",9,0.036634391562625296
"(0, 1, 1)","(0, 1, 0, 12)",12,0.1403388316345231
"(0, 1, 1)","(0, 1, 1, 12)",6,0.0157512147816305
"(0, 1, 1)","(0, 1, 1, 12)",9,0.027706354374259248
"(0, 1, 1)","(0, 1, 1, 12)",12,0.10298770457239843
